ticker,p1_date,p1_price,l1_date,l1_price,p2_date,p2_price,l2_date,l2_price,neckline_slope,y_shape,p1_l1_drop_pct,l1_p2_rise_pct,p2_l2_drop_pct,trough_similarity,p1_ge_p2,neckline_slope_per_bar,bars_p1_p2,bars_l1_l2,bars_span_total,rsi14_l2,atr14_l2,close_sma20_ratio_l2,close_sma50_ratio_l2,vol_z20_l2,nearline_gap_pct_l2,range_pct_window
ADI,2025-07-03,244.8715468137699,2025-07-24,225.47825622558594,2025-08-13,236.69390869140625,2025-08-19,229.5322265625,-0.2920585043701302,0,-0.07919781142613917,0.04974161435149341,-0.03025714589995392,0.9823381213277683,1.0,-0.2920585043701302,28,18,32,49.99744421269594,5.070966655376977,1.011666845375629,0.985716837758818,0.7388586836447127,0.026111575708493148,0.1820763486422269
ADI,2025-07-03,244.8715468137699,2025-07-24,225.47825622558594,2025-07-29,231.06615380677653,2025-08-05,219.81065368652344,-0.8120819415878453,1,-0.07919781142613917,0.024782423257699946,-0.04871115883836985,0.9748640838636246,1.0,-0.8120819415878453,17,8,22,32.51802730995814,4.968246059648588,0.9430486510215045,0.9386381031250999,-0.21745399129236187,0.03273312867980886,0.1820763486422269
AON,2025-08-22,377.45001220703125,2025-08-28,366.5400085449219,2025-09-04,375.4800109863281,2025-09-10,362.3699951171875,-0.24625015258789062,1,-0.028904499428457405,0.024390249994525753,-0.03491534964724922,0.9886233062407338,1.0,-0.24625015258789062,8,8,12,43.12987083499048,5.7234589610028825,0.9797119953795499,0.9993768789456721,-1.2785417907303105,0.033460317968290756,0.10185663174381414
APA,2025-07-09,20.244193495804513,2025-07-16,17.896183013916016,2025-07-29,19.68000030517578,2025-08-06,18.059999465942383,-0.04029951361633799,1,-0.1159843923826903,0.09967585210056663,-0.08231711453822199,0.9909293213249927,1.0,-0.04029951361633799,14,15,20,40.38591780140719,0.7290669060966012,0.9537561421721256,0.9503838227278771,2.2562739760318125,0.07631250267390055,0.36387848008974844
AMAT,2025-07-29,191.07236921596694,2025-08-01,176.09530526184022,2025-08-13,189.48692321777344,2025-09-04,155.94000244140625,-0.14413145438122787,0,-0.07838424789299762,0.07604755808805297,-0.17704082269472707,0.885543213145492,1.0,-0.14413145438122787,11,23,26,34.38006145103098,4.6871707378490095,0.9380386056833003,0.8776046527404121,-0.3957550891561192,0.18380273571304576,0.29821485128577047
APTV,2025-07-03,72.97000122070312,2025-07-18,68.19999694824219,2025-07-23,71.91000366210938,2025-08-05,64.77999877929688,-0.08153827373798077,1,-0.0653693873189574,0.05439892785747127,-0.09915178027684378,0.9498533970384077,1.0,-0.08153827373798077,13,12,22,37.81728659930706,2.0163599240197194,0.9387521255259916,0.9373501126181317,3.5396615022435096,0.09873665544456335,0.33417324757012795
ACGL,2025-07-01,91.5,2025-07-02,88.37999725341797,2025-07-14,90.58999633789062,2025-08-12,87.77999877929688,-0.11375045776367188,0,-0.03409839067302766,0.025005647806661226,-0.03101885055953387,0.9932111507946682,1.0,-0.11375045776367188,8,28,29,46.49031427755309,1.796691882917484,0.995966416086895,0.986502719183431,-0.39101590085951937,0.004798791882143323,0.11437336230242377
ACGL,2025-07-01,91.5,2025-07-02,88.37999725341797,2025-07-14,90.58999633789062,2025-07-31,85.3499984741211,-0.11375045776367188,1,-0.03409839067302766,0.025005647806661226,-0.05784300778890553,0.9657162381369083,1.0,-0.11375045776367188,8,20,21,39.781901039499694,1.8867239241482863,0.975543374421422,0.9666404285722174,-0.08225353005195368,0.035454832848347564,0.11437336230242377
AJG,2025-06-24,325.27423095703125,2025-07-15,307.3930358886719,2025-07-25,314.45770263671875,2025-09-10,293.17999267578125,-0.4916603781960227,0,-0.05497267648823212,0.022982520497326672,-0.06766477584274297,0.9537626375568309,1.0,-0.4916603781960227,22,40,54,40.36535937490737,4.911423168407936,0.9815346816274664,0.9731039481845116,1.4157199343618347,0.018911856187936844,0.1794761170278293
AJG,2025-06-24,325.27423095703125,2025-07-15,307.3930358886719,2025-07-25,314.45770263671875,2025-08-28,297.23506000596103,-0.4916603781960227,0,-0.05497267648823212,0.022982520497326672,-0.054769345722322456,0.9669544371643157,1.0,-0.4916603781960227,22,32,46,50.49856507185469,5.180626697489518,1.0182687563027961,0.9819671623993455,-1.3586123844373799,0.012330851861566823,0.1794761170278293
