ticker,p1_date,p1_price,low1_date,low1_price,p2_date,p2_price,low2_date,low2_price,y_shape,y_breakout,y_reachtarget,p1_trading_date,p2_trading_date,low1_trading_date,low2_trading_date,p1_idx,p2_idx,low1_idx,low2_idx,p1p2_trading_days,neckline_slope_per_day,drop1_norm,rise1_norm,drop2_norm,trough_sim,spread_t,p1_to_l1_t,l1_to_p2_t,p2_to_l2_t,rsi_p2,rsi_l2,vol_ratio_p2,vol_ratio_l2,px_vs_ma20_p2,px_vs_ma20_l2,px_vs_ma50_l2,atr_pct_l2,dist_to_neckline_l2,mom10_to_l2,mp_min_dist
DECK,2024-08-30,159.88,2024-09-06,143.33,2024-09-18,160.45,2024-09-20,147.98,0,0,0,2024-08-30,2024-09-18,2024-09-06,2024-09-20,153,165,157,167,12,0.04749999999999943,-0.11546780157678072,0.11944463824740104,-0.08700202330286766,0.03244261494453343,0.1111111111111111,0.044444444444444446,0.08888888888888889,0.022222222222222223,55.4662641572352,46.318883842162066,0.8459309981564392,2.4990802034894175,0.01828337082818421,-0.018761584654624186,-0.0063592962391032515,0.03701511375210569,0.09804385902386534,0.05165358324277003,1.888723781730708
DELL,2024-03-01,124.66,2024-03-14,106.45,2024-04-08,132.95,2024-04-19,114.87,0,0,0,2024-03-01,2024-04-08,2024-03-14,2024-04-19,152,177,161,186,25,0.3315999999999997,-0.1710662282761859,0.24894316580554232,-0.1698449976514793,0.07909816815406295,0.2777777777777778,0.1,0.17777777777777778,0.1,65.15713751285759,47.692723932124885,1.3616750278690926,1.146384426173268,0.10015629146658878,-0.04275795534207061,0.05962577580718165,0.055721367689706314,0.2198239464467773,-0.13449349325552318,2.6928096144690654
DUK,2024-10-21,121.05,2024-11-15,109.47,2024-11-27,117.68,2024-12-18,105.76,1,1,1,2024-10-21,2024-11-27,2024-11-15,2024-12-18,151,178,170,192,27,-0.12481481481481446,-0.10949319213313169,0.07762859304084735,-0.11270801815431164,0.033890563624737316,0.24444444444444444,0.2111111111111111,0.08888888888888889,0.15555555555555556,63.32863319083848,27.60101610080507,0.6515749792158168,1.511378865896747,0.039495127670890806,-0.05976480284366359,-0.06775847786424571,0.016479376015265203,0.1274307249155702,-0.06638413124786524,3.2263047237495996
DUOL,2024-06-18,213.97,2024-08-05,145.84,2024-08-26,212.7,2024-09-04,202.44,0,0,0,2024-06-18,2024-08-26,2024-08-05,2024-09-04,149,196,181,202,47,-0.027021276595744898,-0.4671557871640153,0.45844761382336796,-0.07035106966538662,0.3880965441579813,0.23333333333333334,0.35555555555555557,0.16666666666666666,0.06666666666666667,64.25797330324454,57.835768416229286,0.6555953868836019,0.4274671080698282,0.1210138988232845,0.03416806204581824,0.08928102039541264,0.03466807153774724,0.049880803088519825,0.014570971859014348,3.058336532670173
GME,2024-07-16,28.54,2024-08-05,18.83,2025-08-19,22.66,2025-08-28,19.9,0,0,0,2024-07-16,2025-08-19,2024-08-05,2025-08-28,148,422,162,429,274,-0.021459854014598538,-0.5156664896441849,0.20339883165161998,-0.14657461497610225,0.05682421667551781,2.966666666666667,0.15555555555555556,2.888888888888889,0.07777777777777778,45.76078502385816,48.03025355924886,0.8588897056026998,1.2126796041856276,-0.0005255901661809226,0.004540090043804845,-0.013727283985602634,0.018523154587366367,0.006248555092553138,-0.004368653420162016,3.234678731204302
HOOD,2025-03-05,48.12,2025-03-10,35.63,2025-03-25,48.75,2025-04-07,30.67,1,1,1,2025-03-05,2025-03-25,2025-03-10,2025-04-07,150,164,153,173,14,0.045000000000000186,-0.4072383436582978,0.4277795891750895,-0.5895011411803064,0.13920853213584058,0.2222222222222222,0.03333333333333333,0.12222222222222222,0.1,54.68355140963446,36.347449246966,0.8589121450948533,1.5705183359345527,0.10203244822088875,-0.14185660471243045,-0.2554198135512784,0.11092307717641854,0.6572825439272167,-0.26778330437339737,2.7926518098188686
JPM,2025-02-28,264.65,2025-03-13,225.19,2025-03-26,252.6,2025-04-07,205.77,1,1,1,2025-02-28,2025-03-26,2025-03-13,2025-04-07,151,169,160,177,18,-0.6694444444444435,-0.1917675074111873,0.13320697866550035,-0.2275841959469309,0.08623828766819125,0.18888888888888888,0.1,0.1,0.08888888888888889,54.431969268804494,30.443209427505025,1.0213247179315044,1.7067526309556351,0.032900789015295695,-0.08871614931321281,-0.14904665920921412,0.040820874349345025,0.2289056670524832,-0.13020700662293827,2.7039606019232822
KLG,2024-06-26,16.96,2024-07-10,15.49,2024-07-17,16.56,2024-07-19,15.93,0,0,0,2024-06-26,2024-07-17,2024-07-10,2024-07-19,149,163,158,165,14,-0.028571428571428723,-0.09489993544222086,0.06907682375726276,-0.04067140090380894,0.028405422853453807,0.07777777777777778,0.1,0.05555555555555555,0.022222222222222223,43.68059485985764,37.09301816907406,0.5529384351984115,0.731110144830585,-0.00231958304479718,-0.031051290286214006,-0.12564868442994526,0.03833735422727789,0.08784547165311885,-0.03920374607521959,1.522578379947539
KO,2025-03-03,72.32,2025-03-14,68.51,2025-04-03,73.18,2025-04-07,66.23,0,0,0,2025-03-03,2025-04-03,2025-03-14,2025-04-07,149,172,158,174,23,0.03739130434782668,-0.0575268005435603,0.07051185263475768,-0.10493733957421103,0.03327981316596119,0.17777777777777778,0.1,0.15555555555555556,0.022222222222222223,67.89964057447213,44.23284426763098,1.2966733250385085,1.7473863214983951,0.042375426849913245,-0.02368129374492467,-0.00021362291743287631,0.023370728817983986,0.1169662878776123,-0.008411885871597802,3.5280512722295607
LYV,2023-10-09,87.76,2023-10-27,77.0,2023-11-20,89.82,2023-12-05,81.41,0,0,0,2023-10-09,2023-11-20,2023-10-27,2023-12-05,151,181,165,191,30,0.06866666666666627,-0.13974025974025972,0.16649350649350647,-0.10922077922077933,0.057272727272727225,0.28888888888888886,0.15555555555555556,0.17777777777777778,0.1111111111111111,69.18445087699789,36.01510453511261,1.079412917822951,0.9009719939481676,0.06606215511708191,-0.05994152286348975,-0.03343840155231148,0.01956586100271181,0.11214880463596195,-0.09363166400900647,2.9942618831832237
MCD,2023-08-25,284.76,2023-09-06,275.44,2023-09-14,284.76,2023-10-12,246.19,0,0,0,2023-08-25,2023-09-14,2023-09-06,2023-10-12,153,166,160,186,13,0.0,-0.037856939761972574,0.037856939761972574,-0.15666761444412858,0.10619372640139413,0.28888888888888886,0.07777777777777778,0.06666666666666667,0.2222222222222222,55.639238862718976,22.33557652363774,0.9102951067075671,1.1487987965988289,0.015115280759330663,-0.06247978876029503,-0.10364784431695129,0.018043572865279238,0.21384808427728508,-0.07304501101122363,2.0818502875741576
MDB,2021-12-21,563.33,2022-01-27,351.51,2022-02-11,450.72,2022-03-08,280.04,1,1,0,2021-12-21,2022-02-11,2022-01-27,2022-03-08,152,188,177,204,36,-3.128055555555556,-0.7563919440079991,0.3542708184545067,-0.6094843593772319,0.2033228073170037,0.3,0.2777777777777778,0.12222222222222222,0.17777777777777778,51.70518314483598,26.437662587553888,0.9704920746596035,2.127561666441872,0.0803818306364188,-0.2662610248092834,-0.3125798067516298,0.09834422890972808,0.47035270132517853,-0.2632900252851502,3.3028390001325683
MRK,2024-09-06,119.1,2024-09-09,113.15,2024-09-17,118.97,2024-09-26,113.09,0,0,0,2024-09-06,2024-09-17,2024-09-09,2024-09-26,152,159,153,166,7,-0.018571428571427923,-0.05261296312671315,0.0514634362012556,-0.05199398708992842,0.0005302695536898124,0.14444444444444443,0.011111111111111112,0.06666666666666667,0.07777777777777778,57.13640339049831,38.62186138140404,0.9548517699061664,1.135395051610952,0.02058090088950104,-0.02528142062752181,-0.028620659174462326,0.019544009299146146,0.08063329433862493,-0.012176821773966173,3.7149462729685134
MRNA,2025-01-28,44.94,2025-02-14,30.53,2025-02-20,36.23,2025-03-04,29.77,0,0,0,2025-01-28,2025-02-20,2025-02-14,2025-03-04,149,165,162,173,16,-0.544375,-0.4840443399395362,0.1914679207255625,-0.21699697682230434,0.024893547330494644,0.12222222222222222,0.14444444444444443,0.03333333333333333,0.08888888888888889,43.92736090603471,37.76589556808411,0.8652730550276724,0.6653208508503884,-0.07221104067578321,-0.07685056973693316,-0.1796614174033767,0.07928877385801798,0.08603065027980175,-0.15048948701445042,3.0842974297676924
MS,2025-03-03,133.33,2025-03-10,111.69,2025-03-26,125.77,2025-04-07,96.27,1,1,1,2025-03-03,2025-03-26,2025-03-10,2025-04-07,149,166,154,174,17,-0.4447058823529422,-0.22478446037187094,0.1462553235691284,-0.3064298327620234,0.13806070373354823,0.2222222222222222,0.05555555555555555,0.13333333333333333,0.08888888888888889,47.884383793746004,29.44538475438719,0.6107847730248538,2.2228646734824906,0.014714172454651786,-0.12847866542903374,-0.20054876688482703,0.05594246680941151,0.31505147083016755,-0.18789741401325166,3.1424606669921262
