ticker,p1_date,p1_price,low1_date,low1_price,p2_date,p2_price,low2_date,low2_price,drop1_pct,recovery_pct,drop2_pct,trough_similarity,pattern_days,ml_shape_proba,ml_breakout_proba,ml_reachtarget_proba
UNH,2025-05-20,322.35169096128584,2025-05-27,287.0919747797867,2025-06-12,316.5528476204156,2025-06-23,295.5199890136719,0.10938275545057957,0.10261823885264224,0.06644343516367486,0.029356495389151353,22,0.36968199962359405,0.577012438941919,0.5998869527839853
COST,2025-05-21,1038.0319102149758,2025-05-30,1000.6137351098531,2025-06-03,1065.6036099935984,2025-07-01,973.151780221938,0.03604723008695699,0.06495001278051649,0.08676005683972468,0.028219600935891122,27,0.23611111111111108,0.1678241285969869,0.5992887509317759
UNH,2025-05-20,322.35169096128584,2025-05-27,287.0919747797867,2025-06-02,311.3398280402949,2025-07-18,280.80999755859375,0.10938275545057957,0.08446022665421925,0.09805950839591857,0.022370917260102766,40,0.38888888888888884,0.5943220742911605,0.5977205440153774
COST,2025-05-21,1038.0319102149758,2025-05-30,1000.6137351098531,2025-06-03,1065.6036099935984,2025-06-20,972.5526635473756,0.03604723008695699,0.06495001278051649,0.08732228905153751,0.028853009830979305,20,0.38888888888888884,0.5065868864232791,0.5974146264680932
UNH,2025-05-20,322.35169096128584,2025-05-27,287.0919747797867,2025-06-02,311.3398280402949,2025-06-05,292.03685276410914,0.10938275545057957,0.08446022665421925,0.06199969787896034,0.017224020239908794,11,0.38888888888888884,0.5874446478313141,0.5948242011048105
WMT,2025-05-16,98.95886874680629,2025-05-23,94.77863509699009,2025-06-03,100.65490774562369,2025-06-12,93.21229239481896,0.042242132542073055,0.0619999712236858,0.07394190226286629,0.01680403584042945,18,0.15617857520263695,0.17515934821474974,0.5928696546948847
GOOGL,2025-05-22,176.3985044728025,2025-06-03,164.9326470385699,2025-06-10,180.94816607880887,2025-06-23,161.85523705575486,0.06499974287480663,0.09710338933985391,0.10551601288259763,0.01901334821656076,20,0.5,0.5164267316592189,0.5888960570583284
GOOGL,2025-05-22,176.3985044728025,2025-06-03,164.9326470385699,2025-06-17,177.20151408744945,2025-06-23,161.85523705575486,0.06499974287480663,0.07438713480424793,0.08660353220301022,0.01901334821656076,20,0.5,0.5222509194359101,0.5888960570583284
AAPL,2025-05-14,213.69746987061376,2025-05-23,193.24069928507132,2025-05-29,203.57895243464628,2025-05-30,196.55692105301176,0.0957277154377555,0.053499356956496186,0.03449291440817665,0.017161093807926624,11,0.38888888888888884,0.5541593762979778,0.5812159159914848
V,2025-05-19,368.50158857718844,2025-05-23,351.6013176505488,2025-06-11,374.850444868596,2025-07-11,343.78508766122945,0.045862138591838374,0.06612354974492486,0.08287400383973544,0.02273580288922127,36,0.1620909334765425,0.18872205752877447,0.5626863569659056
V,2025-05-19,368.50158857718844,2025-05-23,351.6013176505488,2025-07-07,359.02826475791727,2025-07-11,343.78508766122945,0.045862138591838374,0.02112320612731599,0.04245676063127193,0.02273580288922127,36,0.2512165324816246,0.2811312442611546,0.5626863569659056
HD,2025-05-20,385.1577339582591,2025-05-23,356.89472353348077,2025-05-28,366.7768852937825,2025-07-16,350.4716547155883,0.07338035286042388,0.027689290731065394,0.04445544752672738,0.018326928102373623,38,0.17586097104550244,0.5623353699654953,0.4857642239814292
MSFT,2025-06-30,499.9381665482639,2025-07-02,487.8979653734086,2025-07-09,505.94827712953634,2025-09-05,492.3699951171875,0.024083380666822748,0.036996079174696,0.026837292715738276,0.009165911852811777,47,0.2403887093129533,0.15487044885421086,0.5539228366177148
MSFT,2025-06-30,499.9381665482639,2025-07-02,487.8979653734086,2025-07-18,513.7953843002441,2025-07-23,499.87826643817476,0.024083380666822748,0.05307957967608066,0.027086887674212093,0.02455493138938818,16,0.15326249709580497,0.17805870931005965,0.5496088860045326
MSFT,2025-06-30,499.9381665482639,2025-07-02,487.8979653734086,2025-07-09,505.94827712953634,2025-07-23,499.87826643817476,0.024083380666822748,0.036996079174696,0.011997294912830563,0.02455493138938818,16,0.14749634550589596,0.18121921791028375,0.5496088860045326
WMT,2025-05-16,98.95886874680629,2025-05-23,94.77863509699009,2025-06-03,100.65490774562369,2025-07-11,94.01042878321695,0.042242132542073055,0.0619999712236858,0.06601246885247508,0.008171501010218532,37,0.15268623897640385,0.16129099305312203,0.5485254588178257
WMT,2025-05-16,98.95886874680629,2025-05-23,94.77863509699009,2025-06-24,98.87905872669855,2025-07-11,94.01042878321695,0.042242132542073055,0.0432631639558046,0.0492382310893399,0.008171501010218532,37,0.20006775391050557,0.16293213747935512,0.5485254588178257
KO,2025-05-07,72.1768237992886,2025-05-14,68.09583818770106,2025-05-16,71.74985815235495,2025-07-31,67.73999786376953,0.056541496241730715,0.053659960166462045,0.055886665031041664,0.005253031224582469,58,0.1649292298344218,0.16735242578067244,0.5479799299478191
HD,2025-05-20,385.1577339582591,2025-05-23,356.89472353348077,2025-06-04,370.9471835797113,2025-07-16,350.4716547155883,0.07338035286042388,0.03937424433486263,0.05519796286503715,0.018326928102373623,38,0.17269046287345535,0.545983520184146,0.4857642239814292
AAPL,2025-05-14,213.69746987061376,2025-05-23,193.24069928507132,2025-05-29,203.57895243464628,2025-06-18,194.84886452825484,0.0957277154377555,0.053499356956496186,0.04288305741819756,0.008322083542096553,24,0.38888888888888884,0.5402778088363376,0.5416391148211863
AAPL,2025-05-14,213.69746987061376,2025-05-23,193.24069928507132,2025-06-04,206.00620910456834,2025-06-18,194.84886452825484,0.0957277154377555,0.0660601512348347,0.054160234416284314,0.008322083542096553,24,0.3355189823929084,0.5345800851073672,0.5416391148211863
CRM,2025-05-14,295.5812844273354,2025-05-29,254.0970568580227,2025-06-06,274.46477564838517,2025-06-18,257.4700012207031,0.14034795081726836,0.08015724008067897,0.06191969219924209,0.013274236248100481,24,0.2751186547665883,0.5392885362330079,0.4166666666666667
CRM,2025-05-14,295.5812844273354,2025-05-29,254.0970568580227,2025-06-17,270.0717300107315,2025-06-18,257.4700012207031,0.14034795081726836,0.06286839111888927,0.046660673405275195,0.013274236248100481,24,0.35503121572002944,0.5391998887167196,0.4166666666666667
JPM,2025-05-15,268.22775480853,2025-05-23,254.7726124890187,2025-05-28,265.4412092333447,2025-06-13,261.4504067124717,0.05016312472628351,0.041874974865227406,0.015034600439017535,0.02621080091071728,20,0.15588795291408086,0.2068383873891456,0.5354038405524477
